CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1457980,Freeman Maple,Acer x freemanii,Acer,Sapindaceae,,2010.0,14/12/2010,,,,,Street,24/08/2019,"(-37.80338842880675, 144.95622545396952)",-37.80338842880675,144.95622545396952,320074.47,5814031.62
1440310,European nettle tree,Celtis australis,Celtis,Cannabaceae,4.0,2009.0,08/09/2009,Juvenile,1-5 years (<50% canopy),5.0,,Street,24/08/2019,"(-37.802013485203126, 144.95380092026525)",-37.80201348520313,144.95380092026525,319857.66,5814179.52
1439473,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,3.0,2009.0,30/11/2009,New,61+ years,80.0,,Street,24/08/2019,"(-37.80250330292336, 144.9226524006024)",-37.80250330292336,144.9226524006024,317116.33,5814064.65
1663184,Jacaranda,Jacaranda mimosifolia,Jacaranda,Bignoniaceae,,2017.0,12/05/2017,,,,,Street,24/08/2019,"(-37.799391968814156, 144.9724590876487)",-37.799391968814156,144.9724590876487,321494.14,5814506.23
1522604,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,,,,,,,,Park,24/08/2019,"(-37.792484250338966, 144.95230184549294)",-37.79248425033897,144.95230184549294,319702.5,5815234.05
1754525,Sweet Bursaria,Bursaria spinosa,Bursaria,Pittosporaceae,,2019.0,15/04/2019,,,,,Park,24/08/2019,"(-37.80315746131781, 144.92863264166988)",-37.80315746131781,144.92863264166988,317644.48,5814003.75
1583119,Bangalow Palm,Archontophoenix cunninghamiana,Archontophoenix,Arecaceae,,2015.0,08/05/2015,,,,,Park,24/08/2019,"(-37.81314699820347, 144.98033969402874)",-37.81314699820347,144.98033969402877,322221.02,5812994.92
1052686,Manna Gum,Eucalyptus viminalis,Eucalyptus,Myrtaceae,,1999.0,01/04/1999,,,,,Park,24/08/2019,"(-37.783622175490635, 144.95560215521502)",-37.78362217549064,144.95560215521505,319971.61,5816223.8
1764086,Silver Banksia,Banksia marginata,Banksia,Proteaceae,,2019.0,17/06/2019,,,,,Park,24/08/2019,"(-37.802949473620494, 144.92665619781263)",-37.802949473620494,144.92665619781263,317469.95,5814022.97
1441444,Hill¿s Weeping Fig,Ficus microcarpa,Ficus,Moraceae,7.0,2010.0,12/03/2010,Juvenile,31-60 years,60.0,,Street,24/08/2019,"(-37.8221885975035, 144.9635398906189)",-37.8221885975035,144.9635398906189,320763.95,5811959.5
1494191,Red Cedar,Juniperus virginiana,Juniperus,Cupressaceae,,2011.0,06/10/2011,,,,,Park,24/08/2019,"(-37.832170758133245, 144.97338611377302)",-37.83217075813325,144.97338611377305,321654.68,5810870.67
